Ativo	Data	Último (R$)	Var. Dia	Var. Sem	Var. Mês	Var. Ano	Var. 12M	Val. Mín	Val. Máx	Volume	Quantidade de ações	Empresa	Segmento	Idade	Catedoria_idade	Var. Dia (%)	Valor Inicial (R$)	Variação (R$)	Resultado	Var. Sem. (%)	Valor Inicial (R$)	Variação. Sem. (R$)	Resultado	Var. Mês (%)	Valor Inical (R$)	Variação (R$)	Resultado	Var. Ano (%)	Var. Incial (R$)	Variação (R$)	Resultado	Var. 12M(%)	Valor Inicial (R$)	Variação (R$)	Resultado
USIM5	1/26/2024	9,50	5,2	11,76	2,26	2,26	15,97	9,18	9,56	319,16 M	515.117.391	Usiminas	Siderurgia	60	51-60 anos	0,052	R$ 9,03	R$ 241.889.725,43	Subiu	0,1176	R$ 8,50	R$ 514.933.025,43	Subiu	0,0226	9,29	R$ 108.151.480,39	Subiu	0,0226	R$ 9,29	R$ 108.151.480,39	Subiu	0,1597	R$ 8,19	R$ 673.890.100,68	Subiu
CMIN3	1/26/2024	6,82	2,4	2,4	-12,11	-12,11	50,56	6,66	6,86	32,65 M	1.110.559.345	CSN Mineração	Mineração	5	0-10 anos	0,024	R$ 6,66	R$ 177.515.970,30	Subiu	0,024	R$ 6,66	R$ 177.515.970,30	Subiu	-0,1211	7,76	-R$ 1.043.592.199,52	Desceu	-0,1211	R$ 7,76	-R$ 1.043.592.199,52	Desceu	0,5056	R$ 4,53	R$ 2.543.452.343,89	Subiu
PETR3	1/26/2024	41,96	2,19	7,73	7,64	7,64	77,55	40,81	42,34	436,69 M	2.379.877.655	Petrobras	Petróleo e Gás	68	61-70 anos	0,0219	R$ 41,06	R$ 2.140.059.393,53	Subiu	0,0773	R$ 38,95	R$ 7.165.276.351,08	Subiu	0,0764	38,98	R$ 7.087.772.680,46	Subiu	0,0764	R$ 38,98	R$ 7.087.772.680,46	Subiu	0,7755	R$ 23,63	R$ 43.616.542.549,22	Subiu
SUZB3	1/26/2024	52,91	2,04	2,14	-4,89	-4,89	18,85	51,89	53,17	162,55 M	683.452.836	Suzano	Papel e Celulose	98	91-100 anos	0,0204	R$ 51,85	R$ 722.946.282,71	Subiu	0,0214	R$ 51,80	R$ 757.642.330,56	Subiu	-0,0489	55,63	-R$ 1.859.212.321,66	Desceu	-0,0489	R$ 55,63	-R$ 1.859.212.321,66	Desceu	0,1885	R$ 44,52	R$ 5.735.330.905,09	Subiu
CPFE3	1/26/2024	37,10	2,03	2,49	-3,66	-3,66	20,7	36,37	37,32	73,42 M	187.732.538	CPFL Energia	Energia Elétrica	109	101-110 anos	0,0203	R$ 36,36	R$ 138.573.955,06	Subiu	0,0249	R$ 36,20	R$ 169.212.060,96	Subiu	-0,0366	38,51	-R$ 264.598.820,89	Desceu	-0,0366	R$ 38,51	-R$ 264.598.820,89	Desceu	0,207	R$ 30,74	R$ 1.194.473.547,70	Subiu
PRIO3	1/26/2024	45,69	1,98	2,42	-0,78	-0,78	8,08	44,25	45,69	319,92 M	800.010.734	PetroRio	Petróleo e Gás	10	0-10 anos	0,0198	R$ 44,80	R$ 709.687.498,18	Subiu	0,0242	R$ 44,61	R$ 863.669.467,45	Subiu	-0,0078	46,05	-R$ 287.350.761,34	Desceu	-0,0078	R$ 46,05	-R$ 287.350.761,34	Desceu	0,0808	R$ 42,27	R$ 2.732.643.622,56	Subiu
PETR4	1/26/2024	39,96	1,73	6,47	7,3	7,3	95,01	38,91	40,09	1,64 B	4.566.445.852	Petrobras	Petróleo e Gás	68	61-70 anos	0,0173	R$ 39,28	R$ 3.103.136.291,22	Subiu	0,0647	R$ 37,53	R$ 11.088.704.708,47	Subiu	0,073	37,24	R$ 12.414.434.171,44	Subiu	0,0730	R$ 37,24	R$ 12.414.434.171,44	Subiu	0,9501	R$ 20,49	R$ 88.902.961.361,60	Subiu
VALE3	1/26/2024	69,50	1,66	2,06	-9,97	-9,97	-23,49	67,5	69,81	1,89 B	4.196.924.316	Vale	Mineração	79	71-80 anos	0,0166	R$ 68,37	R$ 4.762.926.995,25	Subiu	0,0206	R$ 68,10	R$ 5.887.454.970,82	Subiu	-0,0997	77,20	-R$ 32.301.586.275,92	Desceu	-0,0997	R$ 77,20	-R$ 32.301.586.275,92	Desceu	-0,2349	R$ 90,84	-R$ 89.553.127.391,29	Desceu
MULT3	1/26/2024	28,19	1,58	2,03	-0,81	-0,81	24,02	27,71	28,36	104,16 M	268.505.432	Multiplan	Shopping Centers	47	41-50 anos	0,0158	R$ 27,75	R$ 117.732.680,08	Subiu	0,0203	R$ 27,63	R$ 150.596.994,02	Subiu	-0,0081	28,42	-R$ 61.810.930,37	Desceu	-0,0081	R$ 28,42	-R$ 61.810.930,37	Desceu	0,2402	R$ 22,73	R$ 1.465.984.667,28	Subiu
ITUB4	1/26/2024	32,81	1,48	-0,39	-3,36	-3,36	34,25	32,35	32,91	473,2 M	4.801.593.832	Itaú Unibanco	Banco	13	11-20 anos	0,0148	R$ 32,33	R$ 2.297.591.984,33	Subiu	-0,0039	R$ 32,94	-R$ 616.812.714,74	Desceu	-0,0336	33,95	-R$ 5.477.394.314,88	Desceu	-0,0336	R$ 33,95	-R$ 5.477.394.314,88	Desceu	0,3425	R$ 24,44	R$ 40.191.843.998,18	Subiu
